"","votemail1a","votemail1b","votecount","vote20jb"
"407",1,77,4,2
"408",7,77,3,1
"409",1,77,3,2
"410",3,77,3,1
"411",2,77,4,2
"412",1,77,3,1
"413",1,77,4,3
"414",7,77,5,2
"415",6,77,3,1
"416",1,77,4,4
"417",3,77,3,3
"418",1,77,5,2
"419",7,77,3,1
"420",4,77,3,1
"421",4,77,2,4
"422",3,77,3,1
"423",5,77,4,1
"424",7,77,3,1
"425",1,77,3,2
"426",7,77,3,1
"427",6,77,2,1
"428",1,77,3,3
"429",4,77,3,4
"430",4,77,4,2
"431",6,77,4,2
"432",3,77,2,1
"433",3,77,2,2
"434",4,77,3,4
"435",1,77,4,2
"436",1,77,2,1
"437",3,77,4,1
"438",4,77,4,2
"439",4,77,3,4
"440",2,77,4,2
"441",2,77,3,1
"442",1,77,2,2
"443",1,77,1,2
"444",7,77,2,1
"445",1,77,4,3
"446",1,77,2,2
"447",5,77,3,3
"448",5,77,3,2
"449",3,77,4,3
"450",7,77,5,2
"451",1,77,3,1
"452",2,77,2,3
"453",4,77,3,2
"454",1,77,3,2
"455",1,77,2,2
"456",4,77,1,1
"457",1,77,3,1
"458",2,77,4,2
"459",5,77,2,1
"460",2,77,3,2
"461",7,77,1,2
"462",1,77,5,1
"463",2,77,2,1
"464",1,77,3,2
"465",1,77,5,1
"466",6,77,4,2
"467",4,77,2,1
"468",5,77,4,1
"469",7,77,5,1
"470",1,77,5,1
"471",7,77,1,4
"472",7,77,1,1
"473",1,77,2,1
"474",1,77,5,2
"475",3,77,2,2
"476",1,77,5,1
"477",4,77,4,2
"478",1,77,4,2
"479",2,77,4,2
"480",1,77,3,2
"481",2,77,4,3
"482",1,77,3,2
"483",4,77,3,3
"484",4,77,3,1
"485",1,77,3,3
"486",1,77,4,1
"487",2,77,4,2
"488",5,77,3,1
"489",3,77,3,2
"490",1,77,1,3
"491",1,77,4,1
"492",4,77,1,2
"493",4,77,3,2
"494",4,77,2,3
"495",7,77,2,1
"496",1,77,5,2
"497",2,77,4,1
"498",2,77,4,2
"499",1,77,3,2
"500",2,77,4,2
"501",2,77,4,4
"502",1,77,3,1
"503",5,77,5,1
"504",1,77,2,3
"505",4,77,1,4
"506",4,77,3,1
"507",7,77,3,1
"508",5,77,3,2
"509",6,77,4,1
"510",4,77,2,3
"511",5,77,1,4
"512",2,77,3,1
"513",5,77,3,1
"514",2,77,2,2
"515",2,77,4,2
"516",2,77,2,2
"517",2,77,2,2
"518",1,77,2,3
"519",1,77,3,2
"520",5,77,2,2
"521",1,77,3,1
"522",4,77,3,2
"523",7,77,1,1
"524",5,77,1,3
"525",1,77,4,2
"526",4,77,4,2
"527",3,77,3,2
"528",4,77,3,2
"529",4,77,3,1
"530",1,77,3,2
"531",1,77,3,2
"532",4,77,5,4
"533",1,77,5,2
"534",1,77,2,3
"535",1,77,4,2
"536",1,77,4,2
"537",2,77,3,2
"538",4,77,3,3
"539",1,77,4,2
"540",2,77,4,3
"541",2,77,3,3
"542",2,77,4,2
"543",1,77,4,3
"544",1,77,3,2
"545",1,77,5,2
"546",2,77,5,2
"547",1,77,4,2
"548",2,77,4,2
"549",1,77,4,2
"550",1,77,1,2
"551",1,77,4,2
"552",1,77,3,2
"553",1,77,1,2
"554",4,77,2,2
"555",1,77,4,2
"556",1,77,5,1
"557",4,77,2,2
"558",5,77,4,1
"559",4,77,3,2
"560",1,77,5,2
"561",6,77,5,2
"562",1,77,1,2
"563",2,77,4,1
"564",4,77,3,2
"565",1,77,4,1
"566",2,77,3,2
"567",7,77,3,1
"568",7,77,2,1
"569",2,77,5,1
"570",7,77,4,1
"571",2,77,2,2
"572",2,77,4,2
"573",1,77,4,2
"574",4,77,1,4
"575",7,77,3,1
"576",1,77,5,2
"577",2,77,3,4
"578",4,77,3,4
"579",2,77,4,1
"580",1,77,2,3
"581",6,77,5,1
"582",1,77,5,2
"583",1,77,5,2
"584",1,77,3,4
"585",1,77,3,1
"586",1,77,5,2
"587",6,77,4,1
"588",2,77,4,1
"589",3,77,4,1
"590",4,77,4,4
"591",1,77,4,2
"592",6,77,1,1
"593",1,77,2,2
"594",4,77,2,1
"595",4,77,3,1
"596",7,77,3,1
"597",4,77,3,3
"598",1,77,2,1
"599",1,77,2,3
"600",4,77,5,1
"601",2,77,3,1
"602",1,77,1,1
"603",2,77,4,2
"604",1,77,4,1
"605",5,77,4,2
"606",2,77,4,2
"607",7,77,3,1
"608",2,77,1,2
"609",2,77,3,1
"610",3,77,3,1
"611",4,77,3,4
"612",7,77,3,3
"613",3,77,3,1
"614",2,77,3,2
"615",4,77,3,1
"616",1,77,5,1
"617",4,77,3,4
"618",2,77,4,2
"619",7,77,2,1
"620",3,77,4,2
"621",2,77,4,1
"622",5,77,4,1
"623",2,77,5,2
"624",7,77,2,1
"625",1,77,5,1
"626",4,77,2,1
"627",1,77,1,2
"628",4,77,3,1
"629",4,77,3,1
"630",3,77,3,4
"631",6,77,3,1
"632",3,77,4,3
"633",1,77,5,1
"634",4,77,3,1
"635",5,77,4,1
"636",1,77,2,3
"637",1,77,3,2
"638",2,77,3,2
"639",7,77,3,1
"640",5,77,3,1
"641",1,77,4,2
"642",1,77,5,2
"643",2,77,3,2
"644",2,77,3,2
"645",6,77,4,1
"646",2,77,4,2
"647",4,77,3,4
"648",1,77,5,1
"649",1,77,2,2
"650",3,77,3,1
"651",1,77,5,2
